Наименование;Автор;Издательство;Год выпуска;Жанр;ISBN;Теги;Расположение;ПутьСтань диким!;Эрин Хантер;Олма-Пресс;2003;Сказка;5-224-04342-5;детская литература, коты-воители, кошки, животные;Н/Д;Н/Д;
Печать страсти;Кейт Хьюит;Центрполиграф;2013;Любовный роман;978-5-227-05432-6;арлекин, повороты судьбы, страстная любовь;Н/Д;Н/Д;
Люди и разбойники из Кардамона;Турбьёрн Эгнер;Правда;1987;Сказка;978-5-906640-10-9;детская литература, пираты, разбойники;Н/Д;Н/Д;
Князь Удача Андреевич ;Валерий Михайлович Приемыхов;Самовар;2011;Детская проза;978-5-9781-0538-4;школьная библиотека, детская литература;Н/Д;Н/Д;
Поручение;Реймонд Карвер;БСГ-Пресс;2007;Современная проза;978-5-93381-254-8;короткий рассказ, литература XX века, современная проза, минимализм, жизненные истории;Н/Д;Н/Д;
Зуб кобры;Сергей Борисович Дмитрюк;Издательство журнала Юность;2001;Боевая фантастика;5-7282-0168-7;любовные романы, фантастика, фэнтези, приключения, детектив, триллер;Н/Д;Н/Д;
Горизонт событий;Александр Александрович Долинин;Э;2018;Боевая фантастика, Социально-философская фантастика;978-5-04-093471-3;борьба за выживание, колонизация планет, параллельные миры, фантастический боевик;Н/Д;Н/Д;
Останься со мной сейчас;Катрина Кадмор;Центрполиграф;2019;Любовный роман;978-5-227-08731-7;Арлекин, долгая разлука, любовные испытания, ошибки прошлого, рождественские истории;Н/Д;Н/Д;
Темный принц;Кристин Фихан;Эксмо, Домино;2010;Любовная фантастика;978-5-699-43956-0;романтика, фентези, сверхъестественое, драма;Н/Д;Н/Д;
Волчий тотем;Жун Цзян;Мир книги;2007;Современная проза;978-5-486-02085-8;мистика, фольклор, роман, путеществие во времени, азиатская литература, трансформация;Н/Д;Н/Д;
Дядя Вася;Василий;Вася интернешнл;21;Про Васю;978-5-498-34543-2;книга, книга про васю, интересная книга;Н/Д;Н/Д;
